1	中国	中国	中国	ns	ns	_	_	3	3	ATT	ATT	_	_	_
2	进出口	进出口	进出口	v	v	_	_	3	3	ATT	ATT	_	_	_
3	银行	银行	银行	n	n	_	_	6	6	SBV	SBV	_	_	A0
4	与	与	与	p	p	_	_	6	6	ADV	ADV	_	_	_
5	中国银行	中国银行	中国银行	ni	ni	_	_	4	4	POB	POB	_	_	_
6	加强	加强	加强	v	v	_	_	0	0	HED	HED	Y	_	_
7	合作	合作	合作	v	v	_	_	6	6	VOB	VOB	_	_	A1

1	新华社	新华社	新华社	ni	ni	_	_	5	5	ATT	ATT	_	_
2	北京	北京	北京	ns	ns	_	_	5	5	ATT	ATT	_	_
3	十二月	十二月	十二月	nt	nt	_	_	4	4	ATT	ATT	_	_
4	二十六日	二十六日	二十六日	nt	nt	_	_	5	5	ATT	ATT	_	_
5	电	电	电	n	n	_	_	8	8	IS	IS	_	_
6	（	（	（	wp	wp	_	_	0	0	PUN	PUN	_	_
7	记者	记者	记者	n	n	_	_	8	8	ATT	ATT	_	_
8	周根良	周根良	周根良	nh	nh	_	_	0	0	HED	HED	_	_
9	）	）	）	wp	wp	_	_	0	0	PUN	PUN	_	_

1	中国	中国	中国	ns	ns	_	_	3	3	ATT	ATT	_	_	_	_	_	_	_
2	进出口	进出口	进出口	v	v	_	_	3	3	ATT	ATT	_	_	_	_	_	_	_
3	银行	银行	银行	n	n	_	_	7	7	SBV	SBV	_	_	A0	_	_	_	_
4	与	与	与	p	p	_	_	7	7	ADV	ADV	_	_	_	_	_	_	_
5	中国银行	中国银行	中国银行	ni	ni	_	_	7	7	SBV	SBV	_	_	_	_	_	_	_
6	今天	今天	今天	nt	nt	_	_	7	7	ADV	ADV	_	_	TMP	_	_	_	_
7	签署	签署	签署	v	v	_	_	0	0	HED	HED	Y	_	_	_	_	_	_
8	了	了	了	u	u	_	_	7	7	MT	MT	_	_	_	_	_	_	_
9	《	《	《	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_	_
10	出口	出口	出口	v	v	_	_	11	11	ATT	ATT	_	_	_	_	_	_	_
11	卖方	卖方	卖方	n	n	_	_	12	12	ATT	ATT	_	_	_	_	_	_	_
12	信贷	信贷	信贷	n	n	_	_	13	13	ATT	ATT	_	_	_	_	_	_	_
13	委托	委托	委托	v	v	_	_	14	14	ATT	ATT	_	_	_	_	_	_	_
14	代理	代理	代理	v	v	_	_	15	15	ATT	ATT	_	_	_	_	_	_	_
15	协议	协议	协议	n	n	_	_	7	7	VOB	VOB	_	_	A1	_	_	_	_
16	》	》	》	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_	_
17	，	，	，	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_	_
18	两	两	两	m	m	_	_	19	19	QUN	QUN	_	_	_	_	_	_	_
19	行	行	行	q	q	_	_	20	20	ATT	ATT	_	_	_	_	_	_	_
20	间	间	间	nd	nd	_	_	27	27	ADV	ADV	_	_	_	_	_	_	_
21	互利	互利	互利	v	v	_	_	23	23	DE	DE	Y	_	_	_	_	_	_
22	互补	互补	互补	v	v	_	_	21	21	VV	VV	Y	_	_	_	_	_	_
23	的	的	的	u	u	_	_	25	25	ATT	ATT	_	_	_	_	_	_	_
24	合作	合作	合作	v	v	_	_	25	25	ATT	ATT	_	_	_	_	_	_	_
25	关系	关系	关系	n	n	_	_	27	27	SBV	SBV	_	_	_	_	_	A0	_
26	由此	由此	由此	d	d	_	_	27	27	ADV	ADV	_	_	_	_	_	DIR	_
27	进入	进入	进入	v	v	_	_	7	7	IC	IC	Y	_	_	_	_	_	_
28	了	了	了	u	u	_	_	27	27	MT	MT	_	_	_	_	_	_	_
29	一个	一个	一个	m	m	_	_	32	32	QUN	QUN	_	_	_	_	_	_	_
30	新	新	新	a	a	_	_	31	31	DE	DE	Y	_	_	_	_	_	_
31	的	的	的	u	u	_	_	32	32	ATT	ATT	_	_	_	_	_	_	_
32	阶段	阶段	阶段	n	n	_	_	27	27	VOB	VOB	_	_	_	_	_	A1	A0
33	。	。	。	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_	_

1	中国	中国	中国	ns	ns	_	_	3	3	ATT	ATT	_	_	_	_	_	_
2	进出口	进出口	进出口	v	v	_	_	3	3	ATT	ATT	_	_	_	_	_	_
3	银行	银行	银行	n	n	_	_	4	4	SBV	SBV	_	_	A0	_	_	_
4	是	是	是	v	v	_	_	0	0	HED	HED	Y	_	_	_	_	_
5	一九九四年	一九九四年	一九九四年	nt	nt	_	_	6	6	ADV	ADV	_	_	_	TMP	_	_
6	成立	成立	成立	v	v	_	_	7	7	DE	DE	Y	_	_	_	_	_
7	的	的	的	u	u	_	_	11	11	ATT	ATT	_	_	_	_	_	_
8	一	一	一	m	m	_	_	9	9	QUN	QUN	_	_	_	_	_	_
9	家	家	家	q	q	_	_	11	11	ATT	ATT	_	_	_	_	_	_
10	政策性	政策性	政策性	n	n	_	_	11	11	ATT	ATT	_	_	_	_	_	_
11	银行	银行	银行	n	n	_	_	4	4	VOB	VOB	_	_	A1	A1	_	_
12	，	，	，	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_
13	其	其	其	r	r	_	_	15	15	ATT	ATT	_	_	_	_	_	_
14	主要	主要	主要	b	b	_	_	15	15	ATT	ATT	_	_	_	_	_	_
15	任务	任务	任务	n	n	_	_	16	16	SBV	SBV	_	_	_	_	A0	_
16	是	是	是	v	v	_	_	4	4	IC	IC	Y	_	_	_	_	_
17	为	为	为	p	p	_	_	28	28	ADV	ADV	_	_	_	_	_	A2
18	中国	中国	中国	ns	ns	_	_	20	20	ATT	ATT	_	_	_	_	_	_
19	机电	机电	机电	b	b	_	_	20	20	ATT	ATT	_	_	_	_	_	_
20	产品	产品	产品	n	n	_	_	27	27	ATT	ATT	_	_	_	_	_	_
21	和	和	和	c	c	_	_	23	23	LAD	LAD	_	_	_	_	_	_
22	成套	成套	成套	b	b	_	_	23	23	ATT	ATT	_	_	_	_	_	_
23	设备	设备	设备	n	n	_	_	20	20	COO	COO	_	_	_	_	_	_
24	等	等	等	u	u	_	_	23	23	RAD	RAD	_	_	_	_	_	_
25	资本性	资本性	资本性	n	n	_	_	26	26	ATT	ATT	_	_	_	_	_	_
26	货物	货物	货物	n	n	_	_	20	20	COO	COO	_	_	_	_	_	_
27	出口	出口	出口	v	v	_	_	17	17	POB	POB	_	_	_	_	_	_
28	提供	提供	提供	v	v	_	_	16	16	VOB	VOB	Y	_	_	_	A1	_
29	政策性	政策性	政策性	n	n	_	_	31	31	ATT	ATT	_	_	_	_	_	_
30	金融	金融	金融	n	n	_	_	31	31	ATT	ATT	_	_	_	_	_	_
31	支持	支持	支持	v	v	_	_	28	28	VOB	VOB	_	_	_	_	_	A1
32	。	。	。	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_

1	中国银行	中国银行	中国银行	ni	ni	_	_	2	2	SBV	SBV	_	_	A0	A0	_	_
2	是	是	是	v	v	_	_	0	0	HED	HED	Y	_	_	_	_	_
3	中国	中国	中国	ns	ns	_	_	8	8	ATT	ATT	_	_	_	_	_	_
4	四	四	四	m	m	_	_	8	8	QUN	QUN	_	_	_	_	_	_
5	大	大	大	a	a	_	_	8	8	ATT	ATT	_	_	_	_	_	_
6	国有	国有	国有	v	v	_	_	8	8	ATT	ATT	_	_	_	_	_	_
7	商业	商业	商业	n	n	_	_	8	8	ATT	ATT	_	_	_	_	_	_
8	银行	银行	银行	n	n	_	_	2	2	VOB	VOB	_	_	_	_	_	_
9	之一	之一	之一	r	r	_	_	8	8	RAD	RAD	_	_	A1	_	_	_
10	，	，	，	wp	wp	_	_	0	0	PUN	PUN	_	_	_	_	_	_
11	也	也	也	d	d	_	_	12	12	ADV	ADV	_	_	_	ADV	_	_
12	是	是	是	v	v	_	_	2	2	IC	IC	Y	_	_	_	_	_
13	中国	中国	中国	ns	ns	_	_	14	14	DE	DE	_	_	_	_	_	_
14	的	的	的	u	u	_	_	17	17	ATT	ATT	_	_	_	_	_	_
15	主要	主要	主要	b	b	_	_	17	17	ATT	ATT	_	_	_	_	_	_
16	外汇	外汇	外汇	n	n	_	_	17	17	ATT	ATT	_	_	_	_	_	_
